City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Port Pirie,AU,2021-11-15 03:13:50,-33.1833,138.0167,62.69,52,97,14.61
166,Nadym,RU,2021-11-15 03:13:51,65.5333,72.5167,2.53,87,78,9.44
167,Iqaluit,CA,2021-11-15 03:13:52,63.7506,-68.5145,5.77,94,74,7.99
168,Yar-Sale,RU,2021-11-15 03:13:52,66.8333,70.8333,5.94,97,90,9.01
169,Hami,CN,2021-11-15 03:13:53,42.8,93.45,35.8,39,30,2.06
170,Padang,ID,2021-11-15 03:10:00,-0.9492,100.3543,86.05,64,100,2.71
171,Hervey Bay,AU,2021-11-15 03:09:16,-25.2986,152.8535,86.04,51,0,10.36
172,Cabatuan,PH,2021-11-15 03:13:54,10.8794,122.486,83.88,76,100,12.1
173,Havre-Saint-Pierre,CA,2021-11-15 03:13:54,50.2334,-63.5986,30.88,84,87,5.97
174,Lavrentiya,RU,2021-11-15 03:13:55,65.5833,-171.0,12.72,93,93,6.49
175,San Cristobal,VE,2021-11-15 03:13:55,7.7669,-72.225,69.98,91,82,1.72
176,Kapaa,US,2021-11-15 03:13:56,22.0752,-159.319,79.12,71,75,6.91
177,Marsa Matruh,EG,2021-11-15 03:13:56,31.3525,27.2453,67.01,71,18,8.63
178,Lithgow,AU,2021-11-15 03:13:57,-33.4833,150.15,59.86,50,7,17.94
179,Ballina,AU,2021-11-15 03:13:57,-28.8667,153.5667,84.78,30,0,7.25
180,Richards Bay,ZA,2021-11-15 03:13:58,-28.783,32.0377,66.51,92,99,4.88
181,Qostanay,KZ,2021-11-15 03:12:17,53.1667,63.5833,5.29,85,0,11.18
182,Pekan Nenas,MY,2021-11-15 03:13:59,1.51,103.5141,87.78,64,91,0.45
183,Thompson,CA,2021-11-15 03:13:59,55.7435,-97.8558,21.43,87,97,4.97
184,Kruisfontein,ZA,2021-11-15 03:13:59,-34.0033,24.7314,60.42,73,100,3.87
185,Aswan,EG,2021-11-15 03:14:00,24.0934,32.907,72.16,49,0,9.51
186,Byron Bay,AU,2021-11-15 03:10:01,-28.65,153.6167,84.87,33,0,8.32
187,Warri,NG,2021-11-15 03:15:01,5.5167,5.75,75.22,94,100,3.13
188,Price,US,2021-11-15 03:15:01,39.5994,-110.8107,50.41,61,1,8.05
189,Sao Filipe,CV,2021-11-15 03:15:02,14.8961,-24.4956,75.9,75,37,8.57
190,Djenne,ML,2021-11-15 03:15:02,13.9061,-4.5533,77.16,23,85,11.25
191,Ormara,PK,2021-11-15 03:15:03,25.2088,64.6357,74.61,29,0,20.18
192,Buy,RU,2021-11-15 03:15:04,58.4786,41.53,26.87,85,92,13.42
193,Luwuk,ID,2021-11-15 03:15:04,-0.9516,122.7875,87.13,65,100,3.09
194,Constitucion,CL,2021-11-15 03:15:04,-35.3333,-72.4167,50.34,90,24,9.42
195,Yerofey Pavlovich,RU,2021-11-15 03:15:05,53.9667,121.9667,22.48,54,37,1.99
196,Mezhdurechensk,RU,2021-11-15 03:15:06,53.6942,88.0603,32.13,98,100,3.87
197,Maceio,BR,2021-11-15 03:15:06,-9.6658,-35.7353,78.24,88,40,3.44
198,Arraial Do Cabo,BR,2021-11-15 03:15:07,-22.9661,-42.0278,69.82,71,41,16.44
199,Chuy,UY,2021-11-15 03:15:07,-33.6971,-53.4616,63.03,94,13,6.24
200,Surt,LY,2021-11-15 03:15:08,31.2089,16.5887,69.04,76,0,20.6
201,Grindavik,IS,2021-11-15 03:15:08,63.8424,-22.4338,39.67,70,75,32.21
