City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
322,Nancha,47.1333,129.2667,34.95,62,17,6.82,CN,few clouds
323,Coihaique,-45.5752,-72.0662,37.35,75,0,4.61,CL,clear sky
324,Leningradskiy,69.3833,178.4167,3.65,98,99,8.03,RU,overcast clouds
325,Leshukonskoye,64.8989,45.7622,30.67,97,100,6.6,RU,light snow
326,Sanghar,26.0466,68.9481,69.87,8,4,7.34,PK,clear sky
327,Ovsyanka,55.9575,92.5519,25.77,82,100,10.11,RU,overcast clouds
328,Iracoubo,5.4802,-53.2011,77.18,87,70,8.19,GF,broken clouds
329,Kumano,34.3442,132.5894,62.89,54,98,3.0,JP,overcast clouds
330,Poum,-20.2333,164.0167,80.58,74,60,9.1,NC,broken clouds
331,Praia Da Vitoria,38.7333,-27.0667,66.45,88,20,14.09,PT,few clouds
332,Nortelandia,-14.4547,-56.8028,72.82,98,100,3.22,BR,overcast clouds
333,Ust-Tsilma,65.441,52.1498,23.7,97,100,1.1,RU,light snow
334,Bluffton,32.2371,-80.8604,52.95,80,1,0.0,US,clear sky
335,Kemin,42.7846,75.6892,43.03,63,98,6.91,KG,overcast clouds
336,Sao Felix Do Xingu,-6.6447,-51.995,71.89,99,100,0.18,BR,overcast clouds
337,Mporokoso,-9.3727,30.125,74.7,49,79,9.15,ZM,broken clouds
338,Aswan,24.0934,32.907,69.1,56,0,6.91,EG,clear sky
339,Russkaya Polyana,49.417,31.9201,29.57,69,21,6.93,UA,few clouds
340,Mogadishu,2.0371,45.3438,84.07,84,20,9.22,SO,few clouds
341,Santa Vitoria Do Palmar,-33.5189,-53.3681,64.96,95,14,9.55,BR,few clouds
342,Samarai,-10.6167,150.6667,84.67,75,82,10.69,PG,broken clouds
343,Iqaluit,63.7506,-68.5145,-4.27,77,20,13.8,CA,few clouds
344,Starodub,52.5844,32.7633,25.39,83,72,5.86,RU,broken clouds
